scene,cluster,n_category_terms,best_rank_min,peak_month,in_hypothesis_dict,rep_terms
nail,charm潮流,38,971,2025-02,False,nail charms | nail charms and gems | christmas nail charms
graduation,节日/场合,12,60514,2025-05,True,graduation necklace class of 2025 | graduation bracelet 2025 | graduation bracelet
valentines,节日/场合,9,13376,2025-02,False,valentines earrings | valentines earrings for women | valentines bracelets
mardi gras,节日/场合,8,7904,2025-02,False,mardi gras earrings | mardi gras earrings for women | mardi gras beads necklaces
easter,节日/场合,8,12532,2025-04,False,easter earrings | easter earrings for women | easter bracelets for kids
patricks day,节日/场合,8,19542,2025-03,True,st patricks day earrings | st patricks day necklaces | st patricks day earrings for women
valentine,节日/场合,8,19903,2025-01,False,valentine earrings for women | valentine earrings | valentine bracelets
valentines day,节日/场合,8,25391,2025-01,True,valentines day earrings | valentines day necklace | valentines day earrings for women
gras,节日/场合,7,7904,2025-02,False,mardi gras earrings | mardi gras earrings for women | mardi gras jewelry for women
advent calendar,节日/场合,7,23299,2025-11,False,jewelry advent calendar 2025 | jewelry advent calendar | advent calendar jewelry
christmas tree,节日/场合,5,40714,2025-12,False,christmas tree earrings | christmas tree earrings for women | christmas tree lights with ring
bridal,节日/场合,5,71471,2025-09,False,bridal earrings | bridal jewelry | bridal jewelry set for wedding
mothers,节日/场合,4,40662,2025-12,False,mothers ring | mothers necklace | mothers rings with 3 birthstones
thanksgiving,节日/场合,3,13407,2025-11,False,thanksgiving earrings | thanksgiving earrings for women | thanksgiving jewelry for women
halloween led,节日/场合,3,30417,2025-09,False,halloween led rings | halloween led rings for kids | flashing halloween led rings
bridesmaid,节日/场合,3,82646,2025-09,False,bridesmaid jewelry set | bridesmaid earrings | bridesmaid jewelry
nose,身体珠宝/穿孔,77,761,2025-03,False,nose rings | nose rings for women | fake nose ring
piercing,身体珠宝/穿孔,31,6893,2025-03,False,nipple piercing jewelry | tragus piercing jewelry | industrial piercing jewelry
button,身体珠宝/穿孔,24,1357,2025-06,False,belly button ring | gold belly button ring | dangle belly button rings
belly button,身体珠宝/穿孔,24,1357,2025-06,False,belly button ring | gold belly button ring | dangle belly button rings
arm,身体珠宝/穿孔,24,7655,2025-07,False,arm cuff | gold arm cuff | silver arm cuff
hand,身体珠宝/穿孔,17,7016,2025-07,False,hand chain | hand chain bracelet | sex hand cuff bracelets
toe,身体珠宝/穿孔,14,4481,2025-06,False,toe rings for women | toe rings | toe ring
flat back,身体珠宝/穿孔,11,3975,2025-02,False,flat back earrings | flat back earrings for women | flat back earrings hypoallergenic
septum,身体珠宝/穿孔,11,4976,2025-02,False,septum rings | septum jewelry | gold septum ring
belly,身体珠宝/穿孔,10,12502,2025-06,False,belly chain | belly rings | belly ring
waist,身体珠宝/穿孔,9,10573,2025-10,False,waist chain | gold waist chain | waist chains for women
body,身体珠宝/穿孔,9,21827,2025-06,False,body chain | body chain jewelry for women | gold body chain
nipple,身体珠宝/穿孔,8,22538,2025-02,False,nipple rings | nipple rings surgical steel | nipple jewelry non piercing
cuban link,身体珠宝/穿孔,7,13602,2025-04,False,cuban link chain for men | cuban link chain for women | cuban link chain
upper arm,身体珠宝/穿孔,7,50325,2025-07,False,arm bracelet upper arm | arm jewelry upper arm | bp cuff automatic upper arm
helix,身体珠宝/穿孔,6,46547,2025-09,False,helix earrings | helix earrings for women | hidden helix jewelry
cartilage,身体珠宝/穿孔,5,6616,2025-02,False,cartilage earrings for women | cartilage earring | cartilage earrings
tongue,身体珠宝/穿孔,4,17532,2025-02,False,tongue rings | tongue rings for women | tongue ring
clear nose,身体珠宝/穿孔,3,21149,2025-08,False,clear nose studs | clear nose rings | clear nose ring
tragus,身体珠宝/穿孔,3,41062,2025-01,False,tragus earrings for women | tragus jewelry | tragus earring
gauge nose,身体珠宝/穿孔,3,83410,2025-09,False,18 gauge nose ring | 20 gauge nose ring | 22 gauge nose ring
baseball,运动/兴趣,15,7558,2025-04,False,baseball necklaces for boys | baseball necklace | baseball earrings
tennis,运动/兴趣,13,9843,2025-12,False,tennis bracelets for women | tennis bracelet | tennis necklaces for women
football,运动/兴趣,13,16216,2025-09,False,football earrings | fantasy football ring | football earrings for women
basketball,运动/兴趣,9,82020,2025-03,False,in ground basketball hoops outdoor | basketball necklace | basketball hoops
softball,运动/兴趣,6,89983,2025-04,False,softball necklace | softball necklace for girls | softball earrings
fantasy football,运动/兴趣,5,24216,2025-12,False,fantasy football ring | fantasy football ring 2025 | 2025 fantasy football ring
volleyball,运动/兴趣,4,63322,2025-12,False,volleyball necklace | kendra scott volleyball necklace | volleyball earrings
soccer,运动/兴趣,4,143046,2025-09,False,soccer earrings | soccer necklace | soccer bracelets
cheer,运动/兴趣,3,130968,2025-11,False,kendra scott cheer necklace | cheer necklace | cheer bracelets
western,风格/审美/亚文化,10,11102,2025-07,False,western jewelry for women | western jewelry | western necklaces for women
gothic,风格/审美/亚文化,10,22651,2025-10,False,gothic jewelry | gothic necklace | gothic earrings
beach,风格/审美/亚文化,9,26757,2025-06,False,best selling beach jewelry | beach jewelry for women | beach jewelry
indian,风格/审美/亚文化,8,24538,2025-10,False,indian jewelry sets for women | indian jewelry | oxidized indian jewelry set
vampire,风格/审美/亚文化,7,22542,2025-10,False,vampire necklace | vampire jewelry | vampire earrings
summer,风格/审美/亚文化,7,34788,2025-06,False,summer jewelry | summer earrings | summer necklace
leather,风格/审美/亚文化,7,56897,2025-12,False,leather bracelet for men | mens leather bracelet | leather necklace cord
goth,风格/审美/亚文化,7,79096,2025-09,False,goth jewelry | goth earrings | goth necklace
rhinestone,风格/审美/亚文化,7,86888,2025-09,False,rhinestone earrings | rhinestone necklace for women | rhinestone necklace
witch,风格/审美/亚文化,5,49607,2025-10,False,witch earrings | witch jewelry | witch necklace
mermaid,风格/审美/亚文化,3,61063,2025-10,False,mermaid jewelry | mermaid necklace | mermaid earrings
fairy,风格/审美/亚文化,3,114574,2025-10,False,fairy jewelry | fairy earrings | fairy necklace
